TimeStep,Vel,Enc1,Enc2,SteerDegCmd,SteerDegMega,Stepper,State,X,Y,YawDeg,CurrentSeg,UturnActive,UturnDir
0,0.10864540742715954,-117109,104626,0,0,0.0,APPROACHING,1.7849283184612375,0.5,0.0,0,False,
1,0.10502389384625421,-117109,104626,0,0,0.0,APPROACHING,1.795430707845863,0.5,0.0,0,False,
2,0.10152309738471242,-117109,104626,0,0,0.0,APPROACHING,1.8055830175843341,0.5,0.0,0,False,
3,0.09813899413855531,-117109,104626,0,0,0.0,APPROACHING,1.8153969169981896,0.5,0.0,0,False,
4,0.09486769433393683,-117109,104626,0,0,0.0,APPROACHING,1.8248836864315834,0.5,0.0,0,False,
5,0.09170543785613891,-117109,104626,0,0,0.0,APPROACHING,1.8340542302171974,0.5,0.0,0,False,
6,0.08864858992760091,-117109,104626,0,0,0.0,APPROACHING,1.8429190892099574,0.5,0.0,0,False,
7,0.08569363693001425,-117109,104626,0,0,0.0,APPROACHING,1.8514884529029587,0.5,0.0,0,False,
8,0.08283718236568047,-117109,104626,0,0,0.0,APPROACHING,1.8597721711395268,0.5,0.0,0,False,
9,0.08007594295349113,-117109,104626,0,0,0.0,APPROACHING,1.8677797654348758,0.5,0.0,0,False,
10,0.07740674485504145,-117109,104626,0,0,0.0,APPROACHING,1.87552043992038,0.5,0.0,0,False,
11,0.07482652002654004,-117109,104626,0,0,0.0,APPROACHING,1.883003091923034,0.5,0.0,0,False,
12,0.07233230269232202,-117109,104626,0,0,0.0,APPROACHING,1.8902363221922662,0.5,0.0,0,False,
13,0.0699212259359113,-117109,104626,0,0,0.0,APPROACHING,1.8972284447858574,0.5,0.0,0,False,
14,0.06759051840471424,-117109,104626,0,0,0.0,APPROACHING,1.9039874966263288,0.5,0.0,0,False,
15,0.06533750112455709,-117905,105349,0,0,0.0,APPROACHING,1.9105212467387844,0.5,0.0,0,False,
16,0.06315958442040523,-117905,105349,0,0,0.0,APPROACHING,1.916837205180825,0.5,0.0,0,False,
17,0.06105426493972507,-117905,105349,0,0,0.0,APPROACHING,1.9229426316747975,0.5,0.0,0,False,
18,0.05901912277506754,-117905,105349,0,0,0.0,APPROACHING,1.9288445439523043,0.5,0.0,0,False,
19,0.05705181868256526,-117905,105349,0,0,0.0,APPROACHING,1.9345497258205608,0.5,0.0,0,False,
20,0.055150091393146417,-117905,105349,0,0,0.0,APPROACHING,1.9400647349598754,0.5,0.0,0,False,
21,0.0533117550133749,-117905,105349,0,0,0.0,APPROACHING,1.9453959104612129,0.5,0.0,0,False,
22,0.05153469651292908,-117905,105349,0,0,0.0,APPROACHING,1.9505493801125058,0.5,0.0,0,False,
23,0.04981687329583144,-117905,105349,0,0,0.0,APPROACHING,1.955531067442089,0.5,0.0,0,False,
24,0.04815631085263705,-117905,105349,0,0,0.0,APPROACHING,1.9603466985273525,0.5,0.0,0,False,
25,0.04655110049088251,-117905,105349,0,0,0.0,APPROACHING,1.965001808576441,0.5,0.0,0,False,
26,0.04499939714118639,-117905,105349,0,0,0.0,APPROACHING,1.9695017482905595,0.5,0.0,0,False,
27,0.04349941723648021,-117905,105349,0,0,0.0,APPROACHING,1.9738516900142076,0.5,0.0,0,False,
28,0.04204943666193084,-117905,105349,0,0,0.0,APPROACHING,1.9780566336804006,0.5,0.0,0,False,
29,0.04064778877319983,-117905,105349,0,0,0.0,APPROACHING,1.9821214125577207,0.5,0.0,0,False,
30,0.0,-117905,105349,0,0,0.0,STOPPING,1.9821214125577207,0.5,0.0,0,False,
31,0.0,-118351,105732,0,0,0.0,STOPPING,1.9821214125577207,0.5,0.0,0,False,
32,0.0,-118351,105732,0,0,0.0,STOPPING,1.9821214125577207,0.5,0.0,0,False,
33,0.0,-118351,105732,0,0,0.0,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
34,0.0,-118351,105732,0,0,0.045454545454545456,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
35,0.0,-118351,105732,0,0,0.09090909090909091,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
36,0.0,-118351,105732,0,0,0.13636363636363638,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
