TimeStep,Vel,Enc1,Enc2,SteerDegCmd,SteerDegMega,Stepper,State,X,Y,YawDeg,CurrentSeg,UturnActive,UturnDir
0,0.2,-57350,48261,0,35,0.0,MOVING,0.52,0.5,0.0,0,False,
1,0.2,-57350,48261,0,35,0.0,MOVING,0.54,0.5,0.0,0,False,
2,0.2,-57350,48261,0,35,0.0,MOVING,0.56,0.5,0.0,0,False,
3,0.2,-57350,48261,0,35,0.0,MOVING,0.5800000000000001,0.5,0.0,0,False,
4,0.2,-57350,48261,0,35,0.0,MOVING,0.6000000000000001,0.5,0.0,0,False,
5,0.2,-57350,48261,0,35,0.0,MOVING,0.6200000000000001,0.5,0.0,0,False,
6,0.2,-57350,48261,0,35,0.0,MOVING,0.6400000000000001,0.5,0.0,0,False,
7,0.2,-57350,48261,0,35,0.0,MOVING,0.6600000000000001,0.5,0.0,0,False,
8,0.2,-57350,48261,0,35,0.0,MOVING,0.6800000000000002,0.5,0.0,0,False,
9,0.2,-57350,48261,0,35,0.0,MOVING,0.7000000000000002,0.5,0.0,0,False,
10,0.2,-57766,48647,0,0,0.0,MOVING,0.7200000000000002,0.5,0.0,0,False,
11,0.2,-57766,48647,0,0,0.0,MOVING,0.7400000000000002,0.5,0.0,0,False,
12,0.2,-57766,48647,0,0,0.0,MOVING,0.7600000000000002,0.5,0.0,0,False,
13,0.2,-57766,48647,0,0,0.0,MOVING,0.7800000000000002,0.5,0.0,0,False,
14,0.2,-57766,48647,0,0,0.0,MOVING,0.8000000000000003,0.5,0.0,0,False,
15,0.2,-57766,48647,0,0,0.0,MOVING,0.8200000000000003,0.5,0.0,0,False,
16,0.2,-57766,48647,0,0,0.0,MOVING,0.8400000000000003,0.5,0.0,0,False,
17,0.2,-57766,48647,0,0,0.0,MOVING,0.8600000000000003,0.5,0.0,0,False,
18,0.2,-57766,48647,0,0,0.0,MOVING,0.8800000000000003,0.5,0.0,0,False,
19,0.2,-57766,48647,0,0,0.0,MOVING,0.9000000000000004,0.5,0.0,0,False,
20,0.2,-57766,48647,0,0,0.0,MOVING,0.9200000000000004,0.5,0.0,0,False,
21,0.2,-57766,48647,0,0,0.0,MOVING,0.9400000000000004,0.5,0.0,0,False,
22,0.2,-57766,48647,0,0,0.0,MOVING,0.9600000000000004,0.5,0.0,0,False,
23,0.2,-57766,48647,0,0,0.0,MOVING,0.9800000000000004,0.5,0.0,0,False,
24,0.2,-57766,48647,0,0,0.0,MOVING,1.0000000000000004,0.5,0.0,0,False,
