TimeStep,Vel,Enc1,Enc2,SteerDegCmd,SteerDegMega,Stepper,State,X,Y,YawDeg,CurrentSeg,UturnActive,UturnDir
56,0.16318883978052112,-132539,118882,0,0,0.0,APPROACHING,1.626752364636489,0.5,0.0,0,False,
57,0.15774921178783707,-132539,118882,0,0,0.0,APPROACHING,1.6425272858152726,0.5,0.0,0,False,
58,0.1524909047282425,-132539,118882,0,0,0.0,APPROACHING,1.6577763762880968,0.5,0.0,0,False,
59,0.14740787457063442,-132539,118882,0,0,0.0,APPROACHING,1.6725171637451604,0.5,0.0,0,False,
60,0.14249427875161325,-133617,119904,0,0,0.0,APPROACHING,1.6867665916203216,0.5,0.0,0,False,
61,0.13774446945989283,-133617,119904,0,0,0.0,APPROACHING,1.700541038566311,0.5,0.0,0,False,
62,0.13315298714456308,-133617,119904,0,0,0.0,APPROACHING,1.7138563372807671,0.5,0.0,0,False,
63,0.12871455423974432,-133617,119904,0,0,0.0,APPROACHING,1.7267277927047415,0.5,0.0,0,False,
64,0.12442406909841952,-133617,119904,0,0,0.0,APPROACHING,1.7391701996145834,0.5,0.0,0,False,
65,0.12027660012847224,-133617,119904,0,0,0.0,APPROACHING,1.7511978596274307,0.5,0.0,0,False,
66,0.1162673801241898,-133617,119904,0,0,0.0,APPROACHING,1.7628245976398498,0.5,0.0,0,False,
67,0.11239180078671679,-133617,119904,0,0,0.0,APPROACHING,1.7740637777185215,0.5,0.0,0,False,
68,0.10864540742715954,-133617,119904,0,0,0.0,APPROACHING,1.7849283184612375,0.5,0.0,0,False,
69,0.10502389384625421,-133617,119904,0,0,0.0,APPROACHING,1.795430707845863,0.5,0.0,0,False,
70,0.10152309738471242,-133617,119904,0,0,0.0,APPROACHING,1.8055830175843341,0.5,0.0,0,False,
71,0.09813899413855531,-133617,119904,0,0,0.0,APPROACHING,1.8153969169981896,0.5,0.0,0,False,
72,0.09486769433393683,-133617,119904,0,0,0.0,APPROACHING,1.8248836864315834,0.5,0.0,0,False,
73,0.09170543785613891,-133617,119904,0,0,0.0,APPROACHING,1.8340542302171974,0.5,0.0,0,False,
74,0.08864858992760091,-133617,119904,0,0,0.0,APPROACHING,1.8429190892099574,0.5,0.0,0,False,
75,0.08569363693001425,-133617,119904,0,0,0.0,APPROACHING,1.8514884529029587,0.5,0.0,0,False,
76,0.08283718236568047,-134567,120761,0,0,0.0,APPROACHING,1.8597721711395268,0.5,0.0,0,False,
77,0.08007594295349113,-134567,120761,0,0,0.0,APPROACHING,1.8677797654348758,0.5,0.0,0,False,
78,0.07740674485504145,-134567,120761,0,0,0.0,APPROACHING,1.87552043992038,0.5,0.0,0,False,
79,0.07482652002654004,-134567,120761,0,0,0.0,APPROACHING,1.883003091923034,0.5,0.0,0,False,
80,0.07233230269232202,-134567,120761,0,0,0.0,APPROACHING,1.8902363221922662,0.5,0.0,0,False,
81,0.0699212259359113,-134567,120761,0,0,0.0,APPROACHING,1.8972284447858574,0.5,0.0,0,False,
82,0.06759051840471424,-134567,120761,0,0,0.0,APPROACHING,1.9039874966263288,0.5,0.0,0,False,
83,0.06533750112455709,-134567,120761,0,0,0.0,APPROACHING,1.9105212467387844,0.5,0.0,0,False,
84,0.06315958442040523,-134567,120761,0,0,0.0,APPROACHING,1.916837205180825,0.5,0.0,0,False,
85,0.06105426493972507,-134567,120761,0,0,0.0,APPROACHING,1.9229426316747975,0.5,0.0,0,False,
86,0.05901912277506754,-134567,120761,0,0,0.0,APPROACHING,1.9288445439523043,0.5,0.0,0,False,
87,0.05705181868256526,-134567,120761,0,0,0.0,APPROACHING,1.9345497258205608,0.5,0.0,0,False,
88,0.055150091393146417,-134567,120761,0,0,0.0,APPROACHING,1.9400647349598754,0.5,0.0,0,False,
89,0.0533117550133749,-134567,120761,0,0,0.0,APPROACHING,1.9453959104612129,0.5,0.0,0,False,
90,0.05153469651292908,-134567,120761,0,0,0.0,APPROACHING,1.9505493801125058,0.5,0.0,0,False,
91,0.04981687329583144,-134567,120761,0,0,0.0,APPROACHING,1.955531067442089,0.5,0.0,0,False,
92,0.04815631085263705,-134567,120761,0,0,0.0,APPROACHING,1.9603466985273525,0.5,0.0,0,False,
93,0.04655110049088251,-135218,121378,0,0,0.0,APPROACHING,1.965001808576441,0.5,0.0,0,False,
94,0.04499939714118639,-135218,121378,0,0,0.0,APPROACHING,1.9695017482905595,0.5,0.0,0,False,
95,0.04349941723648021,-135218,121378,0,0,0.0,APPROACHING,1.9738516900142076,0.5,0.0,0,False,
