TimeStep,Vel,Enc1,Enc2,SteerDegCmd,SteerDegMega,Stepper,State
0,0.2,0,0,0,15.0,0.0,MOVING
1,0.2,0,0,0,0,0.0,MOVING
2,0.2,0,0,0,0,0.0,MOVING
3,0.2,0,0,0,0,0.0,MOVING
4,0.2,0,0,0,0,0.0,MOVING
5,0.2,0,0,0,0,0.0,MOVING
6,0.2,0,0,0,0,0.0,MOVING
7,0.2,0,0,0,0,0.0,MOVING
8,0.2,0,0,0,0,0.0,MOVING
9,0.2,0,0,0,0,0.0,MOVING
10,0.2,0,0,0,0,0.0,MOVING
11,0.2,0,0,0,0,0.0,MOVING
12,0.2,0,0,0,0,0.0,MOVING
13,0.2,0,0,0,0,0.0,MOVING
14,0.2,0,0,0,0,0.0,MOVING
15,0.2,0,0,0,0,0.0,MOVING
16,0.2,0,0,0,0,0.0,MOVING
17,0.2,0,0,0,0,0.0,MOVING
18,0.2,0,0,0,0,0.0,MOVING
19,0.2,0,0,0,0,0.0,MOVING
20,0.2,0,0,0,0,0.0,MOVING
21,0.2,0,0,0,0,0.0,MOVING
22,0.2,0,0,0,0,0.0,MOVING
23,0.2,0,0,0,0,0.0,MOVING
24,0.2,0,0,0,0,0.0,MOVING
25,0.2,0,0,0,0,0.0,MOVING
26,0.2,0,0,0,0,0.0,MOVING
27,0.2,0,0,0,0,0.0,MOVING
28,0.2,0,0,0,0,0.0,MOVING
29,0.2,0,0,0,0,0.0,MOVING
30,0.2,0,0,0,0,0.0,MOVING
31,0.2,0,0,0,0,0.0,MOVING
32,0.2,0,0,0,0,0.0,MOVING
33,0.2,0,0,0,0,0.0,MOVING
34,0.2,0,0,0,0,0.0,MOVING
35,0.2,0,0,0,0,0.0,MOVING
36,0.2,0,0,0,0,0.0,MOVING
37,0.2,0,0,0,0,0.0,MOVING
38,0.2,0,0,0,0,0.0,MOVING
39,0.2,0,0,0,0,0.0,MOVING
40,0.2,0,0,0,0,0.0,MOVING
41,0.2,0,0,0,0,0.0,MOVING
42,0.2,0,0,0,0,0.0,MOVING
43,0.2,0,0,0,0,0.0,MOVING
44,0.2,0,0,0,0,0.0,MOVING
45,0.2,0,0,0,0,0.0,MOVING
46,0.2,0,0,0,0,0.0,MOVING
47,0.2,0,0,0,0,0.0,MOVING
48,0.2,0,0,0,0,0.0,MOVING
